JKPAYT,#genre#
CCTV7 国防军事,http://192.168.3.1:5001/TVOD/5000000011000031104/bestzb/index.m3u8$6.8M1080_百视通
CCTV7 国防军事,http://192.168.3.1:5001/TVOD/1000000005000265007/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV7 国防军事,http://192.168.3.1:5001/TVOD/1000000001000017218/ystenlive/index.m3u8$4M1080_易视腾
CCTV7 国防军事,http://192.168.3.1:5001/TVOD/5000000005000026715/bestzb/index.m3u8$4M720_百视通
CCTV8 电视剧,http://192.168.3.1:5001/TVOD/6000000001000001070/wasusyt/index.m3u8$8M1080_华数
CCTV8 电视剧,http://192.168.3.1:5001/TVOD/1000000001000031433/ystenlive/index.m3u8$8M1080_易视腾
CCTV8 电视剧,http://192.168.3.1:5001/TVOD/5000000004000008888/bestzb/index.m3u8$6.8M1080_百视通
CCTV8 电视剧,http://192.168.3.1:5001/TVOD/1000000005000265008/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV8 电视剧,http://192.168.3.1:5001/TVOD/5000000010000018377/bestzb/index.m3u8$4M1080_百视通
CCTV8 电视剧,http://192.168.3.1:5001/TVOD/1000000001000003736/ystenlive/index.m3u8$4M1080_易视腾
CCTV9 记录,http://192.168.3.1:5001/TVOD/6000000001000032162/wasusyt/index.m3u8$8M1080_华数
CCTV9 记录,http://192.168.3.1:5001/TVOD/1000000001000014583/ystenlive/index.m3u8$8M1080_易视腾
CCTV9 记录,http://192.168.3.1:5001/TVOD/1000000005000265009/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV9 记录,http://192.168.3.1:5001/TVOD/5000000010000018384/bestzb/index.m3u8$4M1080_百视通
CCTV9 记录,http://192.168.3.1:5001/TVOD/1000000001000028286/ystenlive/index.m3u8$4M1080_易视腾
CCTV10 科教,http://192.168.3.1:5001/TVOD/5000000004000012827/bestzb/index.m3u8$8M1080_百视通
CCTV10 科教,http://192.168.3.1:5001/TVOD/6000000001000031506/wasusyt/index.m3u8$8M1080_华数
CCTV10 科教,http://192.168.3.1:5001/TVOD/1000000001000023734/ystenlive/index.m3u8$8M1080_易视腾
CCTV10 科教,http://192.168.3.1:5001/TVOD/1000000005000265010/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV10 科教,http://192.168.3.1:5001/TVOD/5000000010000016738/bestzb/index.m3u8$4M1080_百视通
CCTV10 科教,http://192.168.3.1:5001/TVOD/1000000001000026367/ystenlive/index.m3u8$4M1080_易视腾
CCTV11 戏曲,http://192.168.3.1:5001/TVOD/5000000011000031106/bestzb/index.m3u8$6.8M1080_百视通
CCTV11 戏曲,http://192.168.3.1:5001/TVOD/1000000005000265011/ystenlive/index.m3u8$5.5M1080HEVC_易视腾
CCTV11 戏曲,http://192.168.3.1:5001/TVOD/5000000006000040011/bestzb/index.m3u8$4M1080_百视通
CCTV11 戏曲,http://192.168.3.1:5001/TVOD/1000000002000019789/ystenlive/index.m3u8$4M1080_易视腾
CCTV12 社会与法,http://192.168.3.1:5001/TVOD/6000000001000022586/wasusyt/index.m3u8$8M1080_华数
